GEOID,total_outage_days,median_income,n_requests
17031010100,2.0,69460.0,1
17031010201,28.0,49639.0,3
17031010202,29.0,55119.0,5
17031010300,31.0,65871.0,10
17031010501,29.0,48250.0,5
17031010600,3.0,71920.0,2
17031010701,10.0,74208.0,2
17031020100,3.0,69850.0,1
17031020200,1.0,115559.0,1
17031020302,13.0,81563.0,4
17031020500,9.0,46458.0,3
17031020602,10.0,87804.0,3
17031020802,7.0,70044.0,3
17031020902,1.0,47963.0,1
17031030101,26.0,49132.0,5
17031030102,3.0,59622.0,1
17031030200,2.0,103758.0,2
17031030300,3.0,67143.0,1
17031030500,51.0,123464.0,5
17031030603,2.0,54415.0,1
17031030604,1.0,51032.0,1
17031030703,3.0,68861.0,2
17031030706,8.0,50431.0,1
17031030800,48.0,96719.0,2
17031031200,10.0,27869.0,2
17031031400,4.0,87500.0,2
17031031501,2.0,51731.0,1
17031031700,8.0,82774.0,1
17031040201,5.0,103409.0,1
17031040202,6.0,62500.0,3
17031040402,38.0,94541.0,6
17031040600,5.0,90921.0,2
17031040700,3.0,109205.0,1
17031040900,0.0,92167.0,1
17031050200,4.0,124167.0,2
17031050300,0.0,166681.0,1
17031050500,23.0,144250.0,2
17031051300,5.0,199890.0,1
17031051400,1.0,150357.0,1
17031060100,3.0,145313.0,2
17031060200,10.0,91081.0,2
17031060300,5.0,139306.0,1
17031060800,14.0,83534.0,3
17031061000,4.0,116500.0,1
17031061100,1.0,123750.0,1
17031062000,5.0,133514.0,1
17031062700,5.0,136667.0,2
17031062900,24.0,181429.0,1
17031063000,3.0,103250.0,2
17031063200,6.0,77183.0,2
17031063301,1.0,69188.0,1
17031063303,23.0,104813.0,3
17031070101,16.0,96944.0,6
17031070102,1.0,106062.0,1
17031070300,5.0,178750.0,3
17031070400,14.0,205772.0,1
17031070600,2.0,210469.0,2
17031070700,4.0,146806.0,2
17031071100,31.0,212677.0,6
17031071200,8.0,131163.0,1
17031071300,5.0,127083.0,2
17031071500,14.0,123663.0,1
17031071600,2.0,242250.0,1
17031080100,28.0,116983.0,3
17031080300,55.0,157882.0,6
17031080400,84.0,-666666666.0,19
17031081000,15.0,81616.0,3
17031081100,12.0,79683.0,1
17031081201,16.0,134246.0,6
17031081202,62.0,158100.0,9
17031081300,7.0,115260.0,2
17031081401,17.0,82365.0,3
17031081402,13.0,166824.0,1
17031081403,7.0,117550.0,2
17031081500,31.0,141780.0,4
17031081600,10.0,140323.0,3
17031081700,56.0,134579.0,4
17031081800,59.0,157238.0,6
17031090100,23.0,136463.0,4
17031090200,15.0,129787.0,2
17031100600,3.0,84896.0,1
17031100700,5.0,131932.0,1
17031110100,5.0,94141.0,2
17031110300,1.0,122652.0,2
17031110400,3.0,85825.0,1
17031110501,19.0,104848.0,2
17031110502,1.0,80762.0,1
17031120200,29.0,155481.0,3
17031120400,0.0,117404.0,1
17031130100,3.0,41336.0,1
17031130300,7.0,69857.0,3
17031140200,3.0,68875.0,2
17031140301,11.0,71648.0,3
17031140602,12.0,67321.0,2
17031140800,9.0,100250.0,2
17031150200,15.0,94021.0,1
17031150300,2.0,88125.0,2
17031150402,3.0,102094.0,2
17031150501,9.0,126806.0,4
17031150502,6.0,69869.0,1
17031150600,5.0,95045.0,2
17031150700,24.0,108385.0,4
17031150800,25.0,79044.0,2
17031151002,16.0,78851.0,5
17031151100,35.0,76864.0,7
17031151200,7.0,92201.0,3
17031160200,10.0,128288.0,2
17031160300,59.0,76083.0,10
17031160501,9.0,76514.0,2
17031160502,10.0,85500.0,2
17031160602,5.0,96324.0,3
17031160800,8.0,83148.0,3
17031160900,13.0,116063.0,3
17031161000,24.0,113287.0,1
17031161100,24.0,153750.0,1
17031161300,4.0,58425.0,2
17031170100,1.0,41699.0,1
17031170200,8.0,90625.0,2
17031170400,22.0,105524.0,4
17031170500,20.0,85395.0,6
17031170600,9.0,78187.0,3
17031170700,14.0,82284.0,2
17031171000,14.0,82790.0,5
17031190100,9.0,53717.0,3
17031190200,2.0,82551.0,1
17031190300,14.0,68281.0,3
17031190402,32.0,60316.0,6
17031190601,14.0,73607.0,6
17031190602,1.0,73315.0,1
17031190702,4.0,65551.0,2
17031190800,1.0,56311.0,1
17031191000,36.0,66632.0,2
17031191100,22.0,53683.0,2
17031191200,2.0,64688.0,1
17031191301,2.0,65240.0,1
17031191302,37.0,58208.0,7
17031200100,16.0,72417.0,2
17031200401,14.0,73384.0,3
17031200402,12.0,77091.0,4
17031210501,32.0,74886.0,7
17031210601,21.0,90357.0,3
17031210700,1.0,100151.0,1
17031210900,7.0,106083.0,3
17031220300,16.0,94654.0,4
17031220400,1.0,124613.0,1
17031220602,18.0,71207.0,2
17031220901,1.0,83681.0,1
17031220902,11.0,78304.0,1
17031221100,57.0,96514.0,7
17031221200,42.0,126481.0,4
17031221300,16.0,87432.0,2
17031221400,14.0,108789.0,4
17031221600,14.0,138152.0,3
17031222200,4.0,188065.0,2
17031222900,9.0,89630.0,2
17031230100,4.0,89773.0,1
17031230200,31.0,78056.0,4
17031230400,4.0,91771.0,3
17031230500,85.0,35727.0,10
17031230600,56.0,57220.0,8
17031230700,96.0,33994.0,15
